Order ID,用途碼,用途中文說明,標準板編號,塗料編號,製造批號,Coil No.,Time,Coating Thickness正面,"Minimum thickness
 正面","Coating Thickness
 正面 -北","Coating Thickness
 正面 -南","Avergage Thickness
  (µm)正面",光澤60度反射(下限),光澤60度反射(上限),入料檢測-光澤,光澤-正-北,光澤-正-南,"Average value
 光澤正面","正-北
 ΔE","正-北
 ΔL","正-北
Δa","正-北
Δb","正-南
 ΔE","正-南
ΔL","正-南
Δa","正-南
Δb","Average value
ΔE 正面","Average value
ΔL 正面","Average value
 Δa 正面","Average value
Δb 正面","入料檢測
ΔE 正面","入料檢測
 ΔL 正面","入料檢測
Δa 正面","入料檢測
Δb 正面"
PGK35B401,KDR6,輕鋼架(環保),YS2F11WL9 /YS2F11WLA,PT2F11WL9,KT65002001,4CB257B00,2025/1/7,32,29,31.7,31.6,31.7,12,18,15,16.7,18.9,17.8,0.38,-0.11,-0.13,-0.34,0.39,-0.01,-0.12,-0.37,0.385,-0.06,-0.125,-0.355,0.46,-0.22,-0.09,-0.4
PGK35B401,KDR6,輕鋼架(環保),YS2F11WL9 /YS2F11WLA,PT2F11WL9,KT65002001,4CB258B00,2025/1/7,32,29,31.6,31.5,31.6,12,18,15,17.8,18.3,18.05,0.35,-0.09,-0.12,-0.32,0.34,-0.02,-0.14,-0.31,0.345,-0.055,-0.13,-0.315,0.46,-0.22,-0.09,-0.4
PGK35B401,KDR6,輕鋼架(環保),YS2F11WL9 /YS2F11WLA,PT2F11WL9,KT65002001,4CB259B00,2025/1/7,32,29,31.7,31.5,31.6,12,18,15,17.1,18.7,17.9,0.32,-0.09,-0.11,-0.29,0.33,-0.02,-0.13,-0.3,0.325,-0.055,-0.12,-0.295,0.46,-0.22,-0.09,-0.4
PGK35B401,KDR6,輕鋼架(環保),YS2F11WL9 /YS2F11WLA,PT2F11WL9,KT65002001,4CB260B00,2025/1/7,32,29,31.8,31.5,31.7,12,18,15,18.3,18.7,18.5,0.31,-0.1,-0.12,-0.27,0.32,-0.03,-0.14,-0.29,0.315,-0.065,-0.13,-0.28,0.46,-0.22,-0.09,-0.4
PGK35B401,KDR6,輕鋼架(環保),YS2F11WL9 /YS2F11WLA,PT2F11WL9,KT65002001,4CB261B00,2025/1/7,32,29,31.9,32.1,32,12,18,15,16.3,15.4,15.85,0.24,-0.03,-0.09,-0.22,0.1,0,-0.03,-0.1,0.17,-0.015,-0.06,-0.16,0.46,-0.22,-0.09,-0.4
PGK35B401,KDR6,輕鋼架(環保),YS2F11WL9 /YS2F11WLA,PT2F11WL9,KT65002001,4CB262B00,2025/1/7,32,29,32.2,32.4,32.3,12,18,15,16.2,15.7,15.95,0.24,0.03,-0.09,-0.22,0.13,0.07,-0.03,-0.11,0.185,0.05,-0.06,-0.165,0.46,-0.22,-0.09,-0.4
PGK35B401,KDR6,輕鋼架(環保),YS2F11WL9 /YS2F11WLA,PT2F11WL9,KT65002001,4CB263B00,2025/1/7,32,29,32.3,32.4,32.4,12,18,15,16.2,16.5,16.35,0.28,0.02,-0.11,-0.26,0.24,0.08,-0.06,-0.22,0.26,0.05,-0.085,-0.24,0.46,-0.22,-0.09,-0.4
PGK35B401,KDR6,輕鋼架(環保),YS2F11WL9 /YS2F11WLA,PT2F11WL9,KT65002001,4CB264B00,2025/1/7,32,29,32.3,32.5,32.4,12,18,15,15.5,15.8,15.65,0.29,0.04,-0.1,-0.27,0.23,0.1,-0.06,-0.2,0.26,0.07,-0.08,-0.235,0.46,-0.22,-0.09,-0.4
PGK35B401,KDR6,輕鋼架(環保),YS2F11WL9 /YS2F11WLA,PT2F11WL9,KT65002001,4CB268A00,2025/1/7,32,29,29.8,29.9,29.9,12,18,15,16.7,18,17.35,0.5,-0.23,-0.19,-0.4,0.44,-0.15,-0.14,-0.39,0.47,-0.19,-0.165,-0.395,0.46,-0.22,-0.09,-0.4
PGK35B401,KDR6,輕鋼架(環保),YS2F11WL9 /YS2F11WLA,PT2F11WL9,KT65002001,4CB268B00,2025/1/7,32,29,31.2,31.6,31.4,12,18,15,16.9,17.8,17.35,0.48,-0.22,-0.2,-0.38,0.43,-0.16,-0.15,-0.37,0.455,-0.19,-0.175,-0.375,0.46,-0.22,-0.09,-0.4
PGK35B401,KDR6,輕鋼架(環保),YS2F11WL9 /YS2F11WLA,PT2F11WL9,KT65002001,4CB269B00,2025/1/7,32,29,31.4,31.6,31.5,12,18,15,16.9,17.9,17.4,0.5,-0.23,-0.21,-0.39,0.45,-0.15,-0.16,-0.39,0.475,-0.19,-0.185,-0.39,0.46,-0.22,-0.09,-0.4
PGK35B401,KDR6,輕鋼架(環保),YS2F11WL9 /YS2F11WLA,PT2F11WL9,KT65002001,4CB270B00,2025/1/7,32,29,30.9,31.6,31.3,12,18,15,16.5,18.8,17.65,0.46,-0.19,-0.23,-0.35,0.45,-0.16,-0.21,-0.36,0.455,-0.175,-0.22,-0.355,0.46,-0.22,-0.09,-0.4
PGK35B401,KDR6,輕鋼架(環保),YS2F11WL9 /YS2F11WLA,PT2F11WL9,KT65002001,4CB271A20,2025/1/7,32,29,30.8,31.2,31,12,18,15,17.3,18.5,17.9,0.47,-0.21,-0.12,-0.4,0.48,-0.19,-0.12,-0.42,0.475,-0.2,-0.12,-0.41,0.46,-0.22,-0.09,-0.4
PGK35B401,KDR6,輕鋼架(環保),YS2F11WL9 /YS2F11WLA,PT2F11WL9,KT65002001,4CB272B00,2025/1/7,32,29,32.1,31.9,32,12,18,15,16.1,15.8,15.95,0.25,0.03,-0.1,-0.23,0.23,0.11,-0.01,-0.2,0.24,0.07,-0.055,-0.215,0.46,-0.22,-0.09,-0.4
PZK35F101,KFR2,辦公家具(環保),YS2G169QQ,PS2G169QQ,F414121705,4CL922A00,2025/1/8,25,23,25.5,24.9,25.2,60,70,70,69,68.5,68.75,0.31,0.28,-0.05,0.12,0.29,0.27,-0.05,0.1,0.3,0.275,-0.05,0.11,0.34,0.33,-0.02,0.04
